GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FirstWebApp Maven Webapp,com.nagarro.controller,CalculationController,37,0,0,0,9,0,2,0,2,0
FirstWebApp Maven Webapp,com.nagarro.services,AdditionService,0,7,0,0,0,2,0,2,0,2
